region,subregion,country,variable,description,source,year,stat
Americas,Central America,Nicaragua,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2006,1.07
Americas,Central America,Panama,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,3.55
Americas,South America,Paraguay,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2005,1.60
Americas,South America,Peru,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,1.0
Americas,Caribbean,Puerto Rico,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2005,4.88
Americas,Caribbean,Saint Lucia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,8.87
Americas,South America,Suriname,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2007,4.25
Americas,Caribbean,Trinidad and Tobago,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,4.03
Americas,North America,United States of America,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,16.20
Americas,South America,Uruguay,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,9.30
Americas,South America,Venezuela (Bolivarian Republic of),Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2011,1.56
Asia,Near and Middle East / South-West Asia,Afghanistan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC/ Govt. Source,2009,4.28
Asia,Central Asia  and Transcaucasian countries,Armenia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,3.50
Asia,Central Asia and Transcaucasia,Azerbaijan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2004,3.50
Asia,South Asia,Bangladesh,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Academic research,2004,3.30
Asia,South Asia,Bhutan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2009,4.20
Asia,East and South-East Asia,Cambodia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,3.50
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2008,0.40
Asia,East and South-East Asia,"China, Macao SAR",Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,0.67
Asia,Central Asia  and Transcaucasian countries,Georgia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source/ NGO/Academic research,2009,2.70
Asia,East and South-East Asia,Indonesia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,0.50
Asia,Near and Middle East /South-West Asia,Israel,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2009,8.88
Asia,East and South-East Asia,Japan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2011,0.30
Asia,Central Asia  and Transcaucasian countries,Kazakhstan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,2.40
Asia,Near and Middle East,Kuwait,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2005,3.10
Asia,East and South-East Asia,Lao People's Democratic Republic,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC report,2008,0.88
Asia,Near and Middle East /South-West Asia,Lebanon,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source/MEDSPAD,2009,2.00
Asia,East and South-East Asia,Malaysia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,1.60
Asia,South Asia,Maldives,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2012,2.55
Asia,East and South-East Asia,Myanmar,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2005,0.94
Asia,Near and Middle East / South-West Asia,Pakistan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government/UNODC,2012,3.60
Asia,East and South-East Asia,Philippines,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,0.74
Asia,East and South-East Asia,Republic of Korea,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2004,0.29
Asia,Near and Middle East / South-West Asia,Saudi Arabia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source/ NGO/Academic research,2006,0.30
Asia,South Asia,Sri Lanka,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2010,1.43
Asia,East and South-East Asia,Taiwan Province of China,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),AMCEWG,2005,0.30
Asia,East and South-East Asia,Thailand,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2007,1.20
Asia,Near and Middle East,United Arab Emirates,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2006,5.35
Asia,Central Asia and Transcaucasian countries,Uzbekistan,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2003,4.20
Europe,Southeast Europe,Albania,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2006,1.80
Europe,West & Central Europe,Austria,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,3.50
Europe,East Europe,Belarus,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2007,1.07
Europe,West & Central Europe,Belgium,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,4.60
Europe,Southeast Europe,Bosnia and Herzegovina,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2011,1.60
Europe,Southeast Europe,Bulgaria,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,3.50
Europe,Southeast Europe,Croatia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),EMCDDA,2012,5.00
Europe,West & Central Europe,Cyprus,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,2.20
Europe,West & Central Europe,Czech Republic,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,8.90
Europe,West & Central Europe,Denmark,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,6.90
Europe,West & Central Europe,Estonia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2008,6.00
Europe,West & Central Europe,Finland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,4.60
Europe,West & Central Europe,France,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,11.10
Europe,West & Central Europe,Germany,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,4.50
Europe,West & Central Europe,Greece,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2004,1.70
Europe,West & Central Europe,Greenland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2003,7.60
Europe,West & Central Europe,Hungary,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2007,2.30
Europe,West & Central Europe,Iceland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,18.30
Europe,West & Central Europe,Ireland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2011,6.00
Europe,West & Central Europe,Italy,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2014,9.20
Europe,West & Central Europe,Latvia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2011,4.00
Europe,West & Central Europe,Lithuania,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,2.30
Europe,West & Central Europe,Luxembourg,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2010,5.20
Europe,West & Central Europe,Malta,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,0.90
Europe,Southeast Europe,Montenegro,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2011,1.90
Europe,West & Central Europe,Netherlands,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,8.00
Europe,West & Central Europe,Norway,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,4.20
Europe,West & Central Europe,Poland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2015,4.60
Europe,West & Central Europe,Portugal,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,2.70
Europe,Eastern/ South-East Europe,Republic of Moldova,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2010,0.70
Europe,Southeast Europe,Romania,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,2.00
Europe,East Europe,Russian Federation,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2007,3.49
Europe,Southeast Europe,Serbia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2014,1.60
Europe,West & Central Europe,Slovakia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),EMCDDA,2010,3.63
Europe,West & Central Europe,Slovenia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2012,4.40
Europe,West & Central Europe,Spain,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,9.20
Europe,West & Central Europe,Sweden,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,2.88
Europe,West & Central Europe,Switzerland,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,6.70
Europe,Southeast Europe,The former Yugoslav Republic of Macedonia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ESPAD,2008,0.63
Europe,Southeast Europe,Turkey,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),EMCDDA,2011,0.30
Europe,East Europe,Ukraine,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),UNODC Estimate,2011,2.90
Europe,West & Central Europe,United Kingdom (England and Wales),Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2014,6.60
Europe,West & Central Europe,United Kingdom (Northern Ireland),Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2011,5.10
Europe,West & Central Europe,United Kingdom (Scotland),Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2013,6.50
Oceania,Oceania,Australia,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),ARQ,2013,10.20
Oceania,Oceania,Fiji,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2004,5.08
Oceania,Oceania,New Zealand,Cannabis Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated),Government source,2013,11.00
Africa,North Africa,Algeria,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2010,0.01
Africa,West and Central Africa,Cabo Verde,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC/Govt.,2012,0.20
Africa,North Africa,Egypt,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Govt;  Academic Research,2006,0.02
Africa,Eastern Africa,Kenya,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2007,0.30
Africa,North Africa,Morocco,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2004,0.05
Africa,West and Central Africa,Nigeria,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2008,0.70
Africa,Southern Africa,South Africa,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,1.02
Americas,South America,Argentina,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,0.73
Americas,Caribbean,Barbados,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),CICAD,2006,0.40
Americas,Central America,Belize,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),CICAD,2005,0.85
Americas,Caribbean,Bermuda,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2009,1.30
Americas,South America,Bolivia (Plurinational State of),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.36
Americas,South America,Brazil,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2005,0.70
Americas,North America,Canada,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,1.10
Americas,South America,Chile,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,1.73
Americas,South America,Colombia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.70
Americas,Central America,Costa Rica,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2010,1.06
Americas,Caribbean,Dominican Republic,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2008,0.30
Americas,South America,Ecuador,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Encuesta Nacional Sobre el uso de drogas en poblacion General,2013,0.08
Americas,Central America,El Salvador,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,0.47
Americas,Central America,Guatemala,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2005,0.21
Americas,Caribbean,Haiti,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2010,0.88
Americas,Central America,Honduras,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2005,0.87
Americas,Caribbean,Jamaica,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2010,0.98
Americas,North America,Mexico,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,0.50
Americas,Central America,Nicaragua,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2006,0.69
Americas,Central America,Panama,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2003,1.20
Americas,South America,Paraguay,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2003,0.25
Americas,South America,Peru,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2010,0.70
Americas,Caribbean,Puerto Rico,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2005,0.83
Americas,Caribbean,Saint Lucia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2010,0.60
Americas,South America,Suriname,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2007,0.30
Americas,Caribbean,Trinidad and Tobago,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2010,0.48
Americas,North America,United States of America,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,2.10
Americas,South America,Uruguay,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,1.80
Americas,South America,Venezuela (Bolivarian Republic of),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,0.64
Asia,Near and Middle East / South-West Asia,Afghanistan,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC/ Govt. Source,2009,0.00
Asia,Central Asia  and Transcaucasian countries,Armenia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2005,0.10
Asia,East and South-East Asia,"China, Hong Kong SAR",Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2008,0.25
Asia,East and South-East Asia,Indonesia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2010,0.01
Asia,South-West Asia,Iran (Islamic Republic of),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2008,0.01
Asia,Near and Middle East /South-West Asia,Israel,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2009,1.07
Asia,Near and Middle East,Kuwait,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2005,0.04
Asia,South Asia,Maldives,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2012,0.04
Asia,Near and Middle East / South-West Asia,Pakistan,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government/UNODC,2012,0.01
Asia,East and South-East Asia,Philippines,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2005,0.03
Asia,East and South-East Asia,Republic of Korea,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2004,0.03
Asia,Near and Middle East,Syrian Arab Republic,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2005,0.00
Asia,East and South-East Asia,Taiwan Province of China,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),AMCEWG,2005,0.10
Asia,East and South-East Asia,Thailand,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2007,0.05
Europe,Southeast Europe,Albania,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government sources,2006,0.78
Europe,West & Central Europe,Austria,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),,2008,0.90
Europe,East Europe,Belarus,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2007,0.06
